epic,course,course_sequence,module,worksheet_title,assessment_type,status,grade,question_count,learnosity_reference,thinkster_worksheet_id,thinkster_worksheet_number,selected_concept_id,selected_topic_id,activity_id,created_at
Algebra 2,Math: Modeling & Applications,1,"Function modeling (linear, quadratic, exponential, rational)",Modeling & Applications - UT L2 (Set 1),Test,Published,,10,AQUTAL2MODL201,TAQUTAL2MODL201_1,AQUTAL2MODL201,T.AL2.MOD.3,T.AL2.MOD,f07323e8-1502-42aa-83ef-63518959e51a,
Algebra 2,Math: Modeling & Applications,1,"Function modeling (linear, quadratic, exponential, rational)",Modeling & Applications - UT L2 (Set 2),Test,Published,,10,AQUTAL2MODL202,TAQUTAL2MODL202_1,AQUTAL2MODL202,T.AL2.MOD.3,T.AL2.MOD,59db982b-dbf4-46d7-9e7e-a22b63d7b146,
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),Angle measure (degrees & radians) - Worksheet 1,Practice,Published,,5,AQTRGAL201,TAQAL201TRG_1,AQTRGAL201,T.AL2.TRG.1,,83b6ec0f-8437-4244-84af-2ce44ce7572b,2026-06-18T10:45:48.688Z
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),Angle measure (degrees & radians) - Worksheet 2,Practice,Published,,5,AQTRGAL202,TAQAL202TRG_1,AQTRGAL202,T.AL2.TRG.1,,37162c93-921e-4c8d-b987-cf2031ec0b5f,2026-06-18T10:45:48.694Z
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),Angle measure (degrees & radians) - Worksheet 3,Practice,Published,,5,AQTRGAL203,TAQAL203TRG_1,AQTRGAL203,T.AL2.TRG.1,,ab0bd6f2-7c01-4a17-82eb-9ebb61f59084,2026-06-18T10:45:48.700Z
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),Right triangle trigonometry - Worksheet 1,Practice,Published,,5,AQTRGAL204,TAQAL204TRG_1,AQTRGAL204,T.AL2.TRG.2,,1a367d2e-9bae-4e74-b83f-df95a76dd8b0,2026-06-18T10:45:48.705Z
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),Right triangle trigonometry - Worksheet 2,Practice,Published,,5,AQTRGAL205,TAQAL205TRG_1,AQTRGAL205,T.AL2.TRG.2,,408a91b6-2b5c-4d64-aa96-f1d44bbe7eb0,2026-06-18T10:45:48.710Z
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),Right triangle trigonometry - Worksheet 3,Practice,Published,,5,AQTRGAL206,TAQAL206TRG_1,AQTRGAL206,T.AL2.TRG.2,,a13ff800-aaa5-4442-9125-5fcf93904bb5,2026-06-18T10:45:48.716Z
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),Unit circle basics - Worksheet 1,Practice,Published,,5,AQTRGAL207,TAQAL207TRG_1,AQTRGAL207,T.AL2.TRG.3,,26c014e4-94b1-4178-9e3c-a85a73de589e,2026-06-18T10:45:48.721Z
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),Unit circle basics - Worksheet 2,Practice,Published,,5,AQTRGAL208,TAQAL208TRG_1,AQTRGAL208,T.AL2.TRG.3,,05cd7d6f-1ddc-4ed6-ad79-d35ce1f25a00,2026-06-18T10:45:48.727Z
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),Unit circle basics - Worksheet 3,Practice,Published,,5,AQTRGAL209,TAQAL209TRG_1,AQTRGAL209,T.AL2.TRG.3,,0278857f-c705-4801-bcc8-0f4cbf12dc1f,2026-06-18T10:45:48.732Z
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),"Trig graphs (sine, cosine, tangent) - Worksheet 1",Practice,Published,,5,AQTRGAL210,TAQAL210TRG_1,AQTRGAL210,T.AL2.TRG.4,,f5bfa958-1020-4a91-8b6b-16a11ef425f5,2026-06-18T10:45:48.738Z
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),"Trig graphs (sine, cosine, tangent) - Worksheet 2",Practice,Published,,5,AQTRGAL211,TAQAL211TRG_1,AQTRGAL211,T.AL2.TRG.4,,55b49dde-d107-429a-8865-645bb3d16505,2026-06-18T10:45:48.745Z
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),"Trig graphs (sine, cosine, tangent) - Worksheet 3",Practice,Published,,5,AQTRGAL212,TAQAL212TRG_1,AQTRGAL212,T.AL2.TRG.4,,4a4ae458-c171-4001-80b6-5e5735e88ebe,2026-06-18T10:45:48.750Z
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),Trig identities - Worksheet 1,Practice,Published,,5,AQTRGAL213,TAQAL213TRG_1,AQTRGAL213,T.AL2.TRG.5,,ca39b5b6-df17-4c27-b884-b9b99bbbe0c1,2026-06-18T10:45:48.758Z
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),Trig identities - Worksheet 2,Practice,Published,,5,AQTRGAL214,TAQAL214TRG_1,AQTRGAL214,T.AL2.TRG.5,,b02beb9b-7ba8-44da-bbe7-606c9d2f15c1,2026-06-18T10:45:48.764Z
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),Trig identities - Worksheet 3,Practice,Published,,5,AQTRGAL215,TAQAL215TRG_1,AQTRGAL215,T.AL2.TRG.5,,ffd154e2-5435-49eb-aa85-19a2ded127ea,2026-06-18T10:45:48.768Z
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),Angle measure (degrees & radians) - Review Worksheet 1,Review,Published,,8,AQTRGRAL201,TAQAL201TRGR_1,AQTRGRAL201,T.AL2.TRG.1,T.AL2.TRG,4280625e-fad4-4c69-8a0c-c39ac9fdee1f,2026-07-01T16:59:59.318193+00:00
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),Angle measure (degrees & radians) - Review Worksheet 2,Review,Published,,8,AQTRGRAL202,TAQAL202TRGR_1,AQTRGRAL202,T.AL2.TRG.1,T.AL2.TRG,402bd5fb-ca9b-42f5-8898-5d7cb33c9093,2026-07-01T17:00:00.136572+00:00
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),Angle measure (degrees & radians) - Review Worksheet 3,Review,Published,,8,AQTRGRAL203,TAQAL203TRGR_1,AQTRGRAL203,T.AL2.TRG.1,T.AL2.TRG,a2b3d6e3-8b62-4984-a0c1-357bba38d03b,2026-07-01T17:00:00.958100+00:00
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),Right triangle trigonometry - Review Worksheet 1,Review,Published,,8,AQTRGRAL204,TAQAL204TRGR_1,AQTRGRAL204,T.AL2.TRG.2,T.AL2.TRG,32d02574-0fa5-4e05-abbd-9018faaae26c,2026-07-01T17:00:01.777325+00:00
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),Right triangle trigonometry - Review Worksheet 2,Review,Published,,8,AQTRGRAL205,TAQAL205TRGR_1,AQTRGRAL205,T.AL2.TRG.2,T.AL2.TRG,5ffeafbe-8647-4e2a-984f-0bb8452aba45,2026-07-01T17:00:02.610453+00:00
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),Right triangle trigonometry - Review Worksheet 3,Review,Published,,8,AQTRGRAL206,TAQAL206TRGR_1,AQTRGRAL206,T.AL2.TRG.2,T.AL2.TRG,6cc59b4e-285a-4615-9ad1-0cccdead553e,2026-07-01T17:00:03.416033+00:00
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),Unit circle basics - Review Worksheet 1,Review,Published,,8,AQTRGRAL207,TAQAL207TRGR_1,AQTRGRAL207,T.AL2.TRG.3,T.AL2.TRG,ef5b0041-56d0-46ab-8163-1283ad50f380,2026-07-01T17:00:04.157717+00:00
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),Unit circle basics - Review Worksheet 2,Review,Published,,8,AQTRGRAL208,TAQAL208TRGR_1,AQTRGRAL208,T.AL2.TRG.3,T.AL2.TRG,e71e674e-1ed6-4211-922c-dd00ee2376c2,2026-07-01T17:00:04.949579+00:00
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),Unit circle basics - Review Worksheet 3,Review,Published,,8,AQTRGRAL209,TAQAL209TRGR_1,AQTRGRAL209,T.AL2.TRG.3,T.AL2.TRG,bd586b2f-e609-466c-9f67-5be86390e52a,2026-07-01T17:00:05.872842+00:00
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),"Trig graphs (sine, cosine, tangent) - Review Worksheet 1",Review,Published,,8,AQTRGRAL210,TAQAL210TRGR_1,AQTRGRAL210,T.AL2.TRG.4,T.AL2.TRG,fb88e935-a805-4dcf-9612-f18395eafac1,2026-07-01T17:00:06.709232+00:00
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),"Trig graphs (sine, cosine, tangent) - Review Worksheet 2",Review,Published,,8,AQTRGRAL211,TAQAL211TRGR_1,AQTRGRAL211,T.AL2.TRG.4,T.AL2.TRG,e6ef89f7-2c72-4d84-92d9-486ad7a76efc,2026-07-01T17:00:07.524870+00:00
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),"Trig graphs (sine, cosine, tangent) - Review Worksheet 3",Review,Published,,8,AQTRGRAL212,TAQAL212TRGR_1,AQTRGRAL212,T.AL2.TRG.4,T.AL2.TRG,5393fb06-58f2-4cc6-9757-b87f8c2a1e9c,2026-07-01T17:00:08.328547+00:00
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),Trig identities - Review Worksheet 1,Review,Published,,8,AQTRGRAL213,TAQAL213TRGR_1,AQTRGRAL213,T.AL2.TRG.5,T.AL2.TRG,3c9c990f-e097-42fc-9459-8cb5a1f0ade3,2026-07-01T17:00:09.251627+00:00
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),Trig identities - Review Worksheet 2,Review,Published,,8,AQTRGRAL214,TAQAL214TRGR_1,AQTRGRAL214,T.AL2.TRG.5,T.AL2.TRG,e7cc3358-5a5b-44b9-8d9a-84651d421265,2026-07-01T17:00:09.968702+00:00
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),Trig identities - Review Worksheet 3,Review,Published,,8,AQTRGRAL215,TAQAL215TRGR_1,AQTRGRAL215,T.AL2.TRG.5,T.AL2.TRG,c4c5e437-35f5-4f91-a03a-b2f5d9cf8da0,2026-07-01T17:00:10.799756+00:00
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),Trigonometry Foundations (in some Algebra 2 courses) - UT L1 (Set 1),Test,Published,,10,AQUTAL2TRGL101,TAQUTAL2TRGL101_1,AQUTAL2TRGL101,T.AL2.TRG.1,T.AL2.TRG,5e21869d-acda-4a17-b918-085362e874ec,
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),Trigonometry Foundations (in some Algebra 2 courses) - UT L1 (Set 2),Test,Published,,10,AQUTAL2TRGL102,TAQUTAL2TRGL102_1,AQUTAL2TRGL102,T.AL2.TRG.1,T.AL2.TRG,77b33f25-56df-4f79-812c-0422d7dbc4e3,
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),Trigonometry Foundations (in some Algebra 2 courses) - UT L2 (Set 1),Test,Published,,10,AQUTAL2TRGL201,TAQUTAL2TRGL201_1,AQUTAL2TRGL201,T.AL2.TRG.4,T.AL2.TRG,9b51c4d5-d9d0-4fa8-a650-f7184973c326,
Algebra 2,Math: Trigonometry Foundations,2,Angle measure (degrees & radians),Trigonometry Foundations (in some Algebra 2 courses) - UT L2 (Set 2),Test,Published,,10,AQUTAL2TRGL202,TAQUTAL2TRGL202_1,AQUTAL2TRGL202,T.AL2.TRG.4,T.AL2.TRG,8b8b4e83-c63e-4d2a-987d-abb14caee333,
Algebra 2,Math: Probability & Statistics,3,Permutations & combinations,Permutations & combinations - Worksheet 1,Practice,Published,,5,AQPSTAL201,TAQAL201PST_1,AQPSTAL201,T.AL2.PST.1,,141002c3-d61d-4a1f-b757-3b122c67cab3,2026-06-18T10:33:28.468Z
Algebra 2,Math: Probability & Statistics,3,Permutations & combinations,Permutations & combinations - Worksheet 2,Practice,Published,,5,AQPSTAL202,TAQAL202PST_1,AQPSTAL202,T.AL2.PST.1,,63c3d704-8c40-44de-93a9-8a027f9621c8,2026-06-18T10:33:28.473Z
Algebra 2,Math: Probability & Statistics,3,Permutations & combinations,Permutations & combinations - Worksheet 3,Practice,Published,,5,AQPSTAL203,TAQAL203PST_1,AQPSTAL203,T.AL2.PST.1,,ba3728a9-0ed4-475e-85d5-561ce8c26e96,2026-06-18T10:33:28.478Z
Algebra 2,Math: Probability & Statistics,3,Permutations & combinations,Probability rules - Worksheet 1,Practice,Published,,5,AQPSTAL204,TAQAL204PST_1,AQPSTAL204,T.AL2.PST.2,,e86be354-1ac7-42b4-bdd9-e978a3dfb87d,2026-06-18T10:33:28.482Z
Algebra 2,Math: Probability & Statistics,3,Permutations & combinations,Probability rules - Worksheet 2,Practice,Published,,5,AQPSTAL205,TAQAL205PST_1,AQPSTAL205,T.AL2.PST.2,,6b5baf3f-5409-41b9-8ef1-8bb3cc3d9df1,2026-06-18T10:33:28.488Z
Algebra 2,Math: Probability & Statistics,3,Permutations & combinations,Probability rules - Worksheet 3,Practice,Published,,5,AQPSTAL206,TAQAL206PST_1,AQPSTAL206,T.AL2.PST.2,,92acd773-98cb-4d21-984f-43c84bda840a,2026-06-18T10:33:28.492Z
Algebra 2,Math: Probability & Statistics,3,Permutations & combinations,Conditional probability - Worksheet 1,Practice,Published,,5,AQPSTAL207,TAQAL207PST_1,AQPSTAL207,T.AL2.PST.3,,91543a6f-1e0a-4a9f-bf79-aae60821866e,2026-06-18T10:33:28.497Z
Algebra 2,Math: Probability & Statistics,3,Permutations & combinations,Conditional probability - Worksheet 2,Practice,Published,,5,AQPSTAL208,TAQAL208PST_1,AQPSTAL208,T.AL2.PST.3,,4970bd03-b565-45f7-8fd4-b5e586b2238c,2026-06-18T10:33:28.501Z
Algebra 2,Math: Probability & Statistics,3,Permutations & combinations,Conditional probability - Worksheet 3,Practice,Published,,5,AQPSTAL209,TAQAL209PST_1,AQPSTAL209,T.AL2.PST.3,,f23879fa-00aa-4134-952f-6d6530e4ce03,2026-06-18T10:33:28.505Z
Algebra 2,Math: Probability & Statistics,3,Permutations & combinations,Expected value - Worksheet 1,Practice,Published,,5,AQPSTAL210,TAQAL210PST_1,AQPSTAL210,T.AL2.PST.4,,4e333d58-af50-415a-b1df-1e3c71108dac,2026-06-18T10:33:28.509Z
Algebra 2,Math: Probability & Statistics,3,Permutations & combinations,Expected value - Worksheet 2,Practice,Published,,5,AQPSTAL211,TAQAL211PST_1,AQPSTAL211,T.AL2.PST.4,,3760a3b9-2dd4-48ad-a1d8-f0b916a752ca,2026-06-18T10:33:28.513Z
Algebra 2,Math: Probability & Statistics,3,Permutations & combinations,Expected value - Worksheet 3,Practice,Published,,5,AQPSTAL212,TAQAL212PST_1,AQPSTAL212,T.AL2.PST.4,,36d40654-b7d0-46e5-8ccd-fd1fa78e1375,2026-06-18T10:33:28.517Z
Algebra 2,Math: Probability & Statistics,3,Permutations & combinations,Normal distribution - Worksheet 1,Practice,Published,,5,AQPSTAL213,TAQAL213PST_1,AQPSTAL213,T.AL2.PST.5,,7070bc75-e28d-4fc9-bd51-63c9a2aaf504,2026-06-18T10:33:28.522Z
Algebra 2,Math: Probability & Statistics,3,Permutations & combinations,Normal distribution - Worksheet 2,Practice,Published,,5,AQPSTAL214,TAQAL214PST_1,AQPSTAL214,T.AL2.PST.5,,200298e6-a02a-4a70-83c9-b7d27733e17d,2026-06-18T10:33:28.526Z
Algebra 2,Math: Probability & Statistics,3,Permutations & combinations,Normal distribution - Worksheet 3,Practice,Published,,5,AQPSTAL215,TAQAL215PST_1,AQPSTAL215,T.AL2.PST.5,,2794d33b-6a0e-4802-90f5-05891195a82b,2026-06-18T10:33:28.530Z
Algebra 2,Math: Probability & Statistics,3,Permutations & combinations,Regression & correlation - Worksheet 1,Practice,Published,,5,AQPSTAL216,TAQAL216PST_1,AQPSTAL216,T.AL2.PST.6,,05d0a3b8-b02c-4a06-8c45-46321d4984ae,2026-06-18T10:33:28.534Z
Algebra 2,Math: Probability & Statistics,3,Permutations & combinations,Regression & correlation - Worksheet 2,Practice,Published,,5,AQPSTAL217,TAQAL217PST_1,AQPSTAL217,T.AL2.PST.6,,38cf83dd-7e38-43fa-a09c-262e446f1b16,2026-06-18T10:33:28.539Z
Algebra 2,Math: Probability & Statistics,3,Permutations & combinations,Regression & correlation - Worksheet 3,Practice,Published,,5,AQPSTAL218,TAQAL218PST_1,AQPSTAL218,T.AL2.PST.6,,ea5bddea-2934-4764-a800-664eae166de3,2026-06-18T10:33:28.543Z
Algebra 2,Math: Probability & Statistics,3,Permutations & combinations,Data modeling - Worksheet 1,Practice,Published,,5,AQPSTAL219,TAQAL219PST_1,AQPSTAL219,T.AL2.PST.7,,bdb7e66c-323f-47d6-85a1-ae2047c59752,2026-06-18T10:33:28.548Z
Algebra 2,Math: Probability & Statistics,3,Permutations & combinations,Data modeling - Worksheet 2,Practice,Published,,5,AQPSTAL220,TAQAL220PST_1,AQPSTAL220,T.AL2.PST.7,,fd97ea67-8c81-40a7-a550-5833823369af,2026-06-18T10:33:28.552Z
Algebra 2,Math: Probability & Statistics,3,Permutations & combinations,Data modeling - Worksheet 3,Practice,Published,,5,AQPSTAL221,TAQAL221PST_1,AQPSTAL221,T.AL2.PST.7,,cafa2b0b-0142-41bb-ada5-feaf9520c355,2026-06-18T10:33:28.557Z
Algebra 2,Math: Probability & Statistics,3,Permutations & combinations,Permutations & combinations - Review Worksheet 1,Review,Published,,8,AQPSTRAL201,TAQAL201PSTR_1,AQPSTRAL201,T.AL2.PST.1,T.AL2.PST,bd3950d6-94de-41b9-802c-210d8a85b087,2026-07-01T17:00:18.487651+00:00
Algebra 2,Math: Probability & Statistics,3,Permutations & combinations,Permutations & combinations - Review Worksheet 2,Review,Published,,8,AQPSTRAL202,TAQAL202PSTR_1,AQPSTRAL202,T.AL2.PST.1,T.AL2.PST,19dc0906-1441-4e7a-99b0-69ec61acfe7b,2026-07-01T17:00:19.285873+00:00
Algebra 2,Math: Probability & Statistics,3,Permutations & combinations,Permutations & combinations - Review Worksheet 3,Review,Published,,8,AQPSTRAL203,TAQAL203PSTR_1,AQPSTRAL203,T.AL2.PST.1,T.AL2.PST,badea90f-db97-451d-8095-f2c78547e4d0,2026-07-01T17:00:20.207515+00:00
Algebra 2,Math: Probability & Statistics,3,Permutations & combinations,Probability rules - Review Worksheet 1,Review,Published,,8,AQPSTRAL204,TAQAL204PSTR_1,AQPSTRAL204,T.AL2.PST.2,T.AL2.PST,ffc047f7-d00d-4b80-aee7-bc5ea12ec58f,2026-07-01T17:00:21.026173+00:00
Algebra 2,Math: Probability & Statistics,3,Permutations & combinations,Probability rules - Review Worksheet 2,Review,Published,,8,AQPSTRAL205,TAQAL205PSTR_1,AQPSTRAL205,T.AL2.PST.2,T.AL2.PST,2beba6af-107b-4a36-a3d8-d0d8e34c12b7,2026-07-01T17:00:21.948458+00:00
Algebra 2,Math: Probability & Statistics,3,Permutations & combinations,Probability rules - Review Worksheet 3,Review,Published,,8,AQPSTRAL206,TAQAL206PSTR_1,AQPSTRAL206,T.AL2.PST.2,T.AL2.PST,77b2a91a-f096-44b1-aeba-24e63609a092,2026-07-01T17:00:22.696654+00:00
